player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts
jordan-hoover,Jordan Hoover,DB/S,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-johnson,Josh Johnson,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-howsare,Julian Howsare,DL/DE/DB,,,1.0,2.0,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-tuggle,Justin Tuggle,LB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kendal-vickers,Kendal Vickers,DT/DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kwaku-boateng,Kwaku Boateng,DE/DB,,,2.0,2.0,,2.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,1.0,6.0,,6.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,,,,,,73.0,8.0,8.0,179.0,509.0,,,,,,,,12.0,,,4.0,4.0,33.0,12.0
logan-kilgore,Logan Kilgore,QB,,,,,,,,,32.0,23.0,3.0,29.0,29.0,5.0,1.0,233.0,,,,,,,,,,,,2.0,6.0,,9.0,,,,,,,,,,
lorenzo-mauldin,Lorenzo Mauldin,DE/DB/MLB,,,2.0,2.0,,2.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maleek-irons,Maleek Irons,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,
marcus-tucker,Marcus Tucker,WR,,,,,,,,,,,,,,,,,17.0,4.0,5.0,,15.0,44.0,,,,,,,,,,1.0,,,2.0,,,,,,
mike-jones,Mike Jones,RB/WR,,,,,,,,,,,,,,,,,47.0,1.0,1.0,,15.0,47.0,,,,,,,,,,,,,,,,,,,
monshadrik-hunter,Monshadrik Hunter,DB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natey-adjei,Natey Adjei,WR,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,4.0,12.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,
nick-usher,Nick Usher,DL/DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richard-leonard,Richard Leonard,DB,2.0,30.0,,6.0,1.0,6.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,
ricky-collins,Ricky Collins,WR,,,,,,,,,,,,,,,,,17.0,4.0,7.0,,1.0,53.0,,,,,,,,,,,,,,,,,,,
rico-murray,Rico Murray,DB/LB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,2.0,2.0,31.0,6.0
simoni-lawrence,Simoni Lawrence,LB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ted-laurent,Ted Laurent,DT/DB,,,1.0,1.0,,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tevaun-smith,Tevaun Smith,WR,,,,,,,,,,,,,,,,,26.0,5.0,6.0,,14.0,41.0,,,,,,,,,,,,,,,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyquwan-glass,Tyquwan Glass,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrell-sutton,Tyrell Sutton,RB,,,,,,,,,,,,,,,,,12.0,3.0,3.0,,20.0,23.0,,,,,,11.0,19.0,,88.0,,,,,,,,,,
vontae-diggs,Vontae Diggs,OLB/LB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
