player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
mitch-barnett,Mitch Barnett,LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osagie-odiase,Osagie Odiase,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-levels,Patrick Levels,LB/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,,,,,,76.0,9.0,9.0,182.0,,645.0,,,,,,,,,9.0,,,1.0,1.0,43.0,9.0,6.0,6.0
richard-leonard,Richard Leonard,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-stanzi,Ricky Stanzi,QB,,,,,,,,,2.0,1.0,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riley-jones,Riley Jones,LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rob-maver,Rob Maver,P/K,,,,,,,,,,,,,,,,,,,,,,,54.0,5.0,3.0,22.0,,233.0,,,,,,,,,1.0,,,,,,,,
roy-finch,Roy Finch,RB,,,,,,,,,,,,,,,,,4.0,1.0,1.0,,4.0,4.0,38.0,1.0,,,1.0,38.0,3.0,37.0,,35.0,,,,1.0,6.0,,1.0,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,,,,,,,1.0,,,,,,,,,,,,,,72.0,1.0,1.0,38.0,1.0,72.0,,,,,,,,,1.0,,,,,,,,
shaquille-richardson,Shaquille Richardson,DB,1.0,,,3.0,1.0,3.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,,1.0,,,,,,
spencer-wilson,Spencer Wilson,OL,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,3.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,
tommie-campbell,Tommie Campbell,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
will-hill,Will Hill,DB,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
william-langlais,William LANGLAIS,RB,,,,,,,,,,,,,,,,,11.0,1.0,1.0,,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
zach-collaros,Zach COLLAROS,QB,,,,,,,,,21.0,14.0,1.0,21.0,9.0,1.0,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
