player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,misc_td,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
dominique-ellis,Dominique Ellis,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-unamba,Don Unamba,LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giovanni-aprile,Giovanni Aprile,WR,,,,,,,,,,,,,11.0,2.0,4.0,,,18.0,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,39.0,10.0,11.0,1.0,51.0,155.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
jake-ceresna,Jake Ceresna,DL/DB,1.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-harty,Jake Harty,WR,,,,,,,,,,,,,5.0,2.0,2.0,1.0,1.0,8.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
jalen-saunders,Jalen Saunders,WR,,,,,,,,,,,,,13.0,4.0,7.0,,22.0,40.0,,,,,,,,,,,,,,,,,,,,
jay-langa,Jay Langa,LB/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,12.0,7.0,22.0,9.0,1.0,,68.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
jerrell-gavins,Jerrell Gavins,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-chick,John Chick,DB/DE,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshua-stangby,Joshua Stangby,WR,,,,,,,,,,,,,,,4.0,,,,25.0,1.0,,,25.0,,,,,,,,,,,,,,,
justin-capicciotti,Justin Capicciotti,DB/DE,2.0,2.0,2.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-vaughn,Justin Vaughn,DT/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keelan-johnson,Keelan Johnson,LB/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-shaw,Kenny Shaw,WR,,,,,,,,,,,,,13.0,5.0,7.0,,24.0,45.0,,,,,,,,,,,,,,,,,,,,
khalil-bass,Khalil Bass,LB/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,1.0,10.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luke-tasker,Luke Tasker,WR,,,,,,,,,,,,,,6.0,7.0,1.0,40.0,93.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
mike-jones,Mike Jones,RB/WR,,,,,,,,,,,,,5.0,1.0,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,
nicholas-taylor,Nicholas Taylor,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-lavoie,Patrick Lavoie,FB/RB,,,,,,,,,,,,,8.0,3.0,3.0,,8.0,19.0,,,,,,,,,,,,,,,,,,,,
richard-leonard,Richard Leonard,DB,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryan-lindley,Ryan Lindley,QB,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,8.0,,,,,,,,,,,
serderius-bryant,Serderius Bryant,LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,,,,,,,,,,,,,,,,,95.0,3.0,2.0,51.0,224.0,,,,,,,4.0,,,1.0,1.0,43.0,4.0,1.0,1.0
sherrod-baltimore,Sherrod Baltimore,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-reed,Taylor Reed,LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,,48.0,36.0,39.0,25.0,3.0,2.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,
william-powell,William Powell,RB,,,,,,,,,,,,,14.0,2.0,5.0,,16.0,24.0,,,,,,12.0,9.0,,33.0,,,,,,,,,,,
zach-collaros,Zach COLLAROS,QB,,,,,,17.0,9.0,,,,1.0,102.0,,,,,,,,,,,,2.0,3.0,,3.0,,,,,,,,,,,
