player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
jonathan-rose,Jonathan Rose,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-jennings,Jonathon Jennings,QB,,,,,,,,25.0,20.0,,49.0,2.0,1.0,3.0,348.0,,,,,,,,,,,,4.0,8.0,,14.0,,,,,,,,,,,,
juron-criner,Juron Criner,WR,,,,,,,,,,,,,,,,9.0,1.0,2.0,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,
loucheiz-purifoy,Loucheiz Purifoy,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marco-iannuzzi,Marco Iannuzzi,WR,,,,,,,,,,,,,,,,16.0,2.0,2.0,,9.0,28.0,,,,,,,,,,,,,,,,,,,,,
mike-edem,Mike Edem,S/DB,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell-white,Mitchell White,DB,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mossis-madu,Mossis Madu,RB,,,,,,,,,,,,,,,,11.0,3.0,4.0,,10.0,16.0,16.0,1.0,,,16.0,11.0,8.0,1.0,48.0,,,,6.0,1.0,1.0,,,,,,
moton-hopkins,Moton Hopkins,DB/DL,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-lavoie,Patrick Lavoie,RB/FB,,,,,,,,,,,,,,,,17.0,4.0,5.0,,32.0,43.0,,,,,,,,,,,,,,,,,,,,,
paul-hazel,Paul Hazel,DB/DL,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,,,,,,,,,,,,,,67.0,6.0,6.0,100.0,350.0,,,,,,,,8.0,,,2.0,2.0,39.0,7.0,3.0,1.0
ryan-phillips,Ryan Phillips,DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serderius-bryant,Serderius Bryant,LB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaquille-murray-lawrence,Shaquille Murray-Lawrence,RB,,,,,,,,,,,,,,,,6.0,1.0,1.0,,4.0,6.0,20.0,1.0,,,20.0,,,,,,,,,,,,,,,,
shawn-gore,Shawn Gore,SB/WR,,,,,,,,,,,,,,,,43.0,4.0,6.0,,24.0,85.0,,,,,,,,,,,,,,,,,,,,,
solomon-elimimian,Solomon Elimimian,LB,,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stephen-adekolu,Stephen Adekolu,WR,,,,,,,,,,,,,,,,19.0,1.0,1.0,,13.0,19.0,,,,,,,,,,,,,,,,,,,,,
taylor-reed,Taylor Reed,LB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrell-sinkfield,Terrell Sinkfield,WR,,,,,,,,,,,,,,,,,4.0,5.0,1.0,31.0,84.0,,,,,,2.0,7.0,,10.0,,,1.0,6.0,,1.0,,,,,,
travis-lulay,Travis Lulay,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,6.0,1.0,1.0,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,,,,45.0,32.0,1.0,,4.0,1.0,2.0,485.0,,,,,,,,,,,,2.0,5.0,,6.0,,,,,,,,,,,,
zack-medeiros,Zack Medeiros,K,,,,,,,,,,,,,,,,,,,,,,70.0,6.0,6.0,126.0,390.0,,,,,,,,,,,,,,,,
