player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,,,,4.0,7.0,1.0,11.0,89.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
greg-henderson,Greg Henderson,DB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivan-mclennan,Ivan McLennan,DB/DL,,,1.0,2.0,2.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-ceresna,Jake Ceresna,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-harty,Jake Harty,WR,,,,,,,,,,,,,,,,10.0,4.0,4.0,,14.0,27.0,,,,,,,,,1.0,,2.0,,,,,,,
jerrell-gavins,Jerrell Gavins,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jesse-joseph,Jesse Joseph,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-newsome,Jonathan Newsome,DE/DB/DL,,,2.0,1.0,1.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-mincy,Jonathon Mincy,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshua-stangby,Joshua Stangby,WR,,,,,,,,,,,,,,,,17.0,5.0,6.0,1.0,7.0,49.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
khalil-bass,Khalil Bass,DB/LB,,,1.0,5.0,5.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kristian-matte,Kristian Matte,G,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-carter,Michael Carter,RB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-wakefield,Michael Wakefield,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mossis-madu,Mossis Madu,RB,,,,,,,,,,,,,,,,35.0,3.0,4.0,,34.0,45.0,,,,,,14.0,13.0,64.0,1.0,,2.0,,,,,,,
nicolas-boulay,Nicolas Boulay,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolas-lewis,Nikolas Lewis,WR,,,,,,,,,,,,,,,,12.0,5.0,7.0,,24.0,41.0,,,,,,,,,,,,,,,,,,
patrick-lavoie,Patrick Lavoie,FB/RB,,,,,,,,,,,,,,,,7.0,3.0,3.0,,7.0,18.0,,,,,,,,,,,,,,,,,,
ryan-lindley,Ryan Lindley,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,5.0,,,,,,,,,,
sam-giguere,Sam Giguere,WR,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
serderius-bryant,Serderius Bryant,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sherrod-baltimore,Sherrod Baltimore,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-logan,Stefan Logan,RB,,,,,,,,,,,,,,,,22.0,2.0,2.0,,29.0,33.0,29.0,5.0,,,98.0,1.0,2.0,2.0,,,,,,,,,,
taylor-reed,Taylor Reed,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tevaughn-campbell,Tevaughn Campbell,DB/CB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiquan-underwood,Tiquan Underwood,WR,,,,,,,,,,,,,,,,24.0,2.0,3.0,,4.0,35.0,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,1.0,1.0,,,41.0,32.0,1.0,,19.0,4.0,3.0,343.0,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,
tyree-hollins,Tyree Hollins,DB,1.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrell-sutton,Tyrell Sutton,RB,,,,,,,,,,,,,,,,8.0,3.0,3.0,,11.0,15.0,,,,,,6.0,6.0,4.0,,,,,,,,,,
zack-evans,Zack Evans,DB/DL,,,1.0,1.0,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
