player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot,stat_fga,stat_pts,stat_xpa,stat_xpm
brandon-isaac,Brandon Isaac,LB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-rutley,Brandon Rutley,RB,,,,,,,,,,,,,,,,9.0,4.0,4.0,,27.0,28.0,,,,,,9.0,14.0,1.0,45.0,,,6.0,1.0,1.0,,,,
brandon-whitaker,Brandon Whitaker,RB,,,,,,,,,,,,,,,,7.0,4.0,6.0,,15.0,16.0,,,,,,15.0,15.0,,67.0,,,,,,,,,
chip-cox,Chip Cox,LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,1.0,1.0,,,,,1.0,4.0,,,,,,,,,,,,2.0,8.0,,9.0,,,,,,,,,
corbin-louks,Corbin Louks,WR,,,,,,,,,,,,,,,,8.0,1.0,1.0,,6.0,8.0,,,,,,,,,,,,,,,,,,
cory-greenwood,Cory Greenwood,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devin-smith,Devin Smith,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devon-wylie,Devon Wylie,WR,,,,1.0,1.0,,,,,,,,,,,16.0,5.0,5.0,1.0,18.0,55.0,,,,,,,,,,,1.0,6.0,,1.0,,,,
dominique-termansen,Dominique Termansen,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,,,,,,,,,,,,,,,,6.0,8.0,1.0,48.0,124.0,,,,,,,,,,,1.0,6.0,,1.0,,,,
ethan-davis,Ethan Davis,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabriel-knapton,Gabriel Knapton,DB/DE,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isaiah-green,Isaiah Green,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-bowman,John Bowman,DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-woods,Jonathan Woods,LB,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-mincy,Jonathon Mincy,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jovon-johnson,Jovon Johnson,DB,,,1.0,5.0,5.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-hickman,Justin Hickman,DB/DE,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ken-bishop,Ken Bishop,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-shaw,Kenny Shaw,WR,,,,,,,,,,,,,,,,,9.0,9.0,1.0,7.0,86.0,,,,,,,,,,1.0,1.0,8.0,,1.0,,,,
keon-raymond,Keon Raymond,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-glenn,Kevin Glenn,QB,,,,1.0,1.0,,,28.0,24.0,1.0,,16.0,2.0,1.0,285.0,,,,,,,,,,,,1.0,6.0,,6.0,,,,,,,,,
kyler-elsworth,Kyler Elsworth,LB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-taylor,Larry Taylor,WR,,,,,,,,,,,,,,,,,,,,,,19.0,2.0,,,38.0,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,,,,,74.0,5.0,5.0,117.0,305.0,,,,,,,4.0,,,2.0,3.0,3.0,3.0
logan-kilgore,Logan Kilgore,QB,,,,,,,,3.0,1.0,1.0,15.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,
matt-black,Matt Black,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-klassen,Michael Klassen,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,12.0,1.0,,,12.0,,,,,,,,,,,,,
nikolas-lewis,Nikolas Lewis,WR,,,,,,,,,,,,,,,,20.0,8.0,8.0,,65.0,81.0,,,,,,,,,,,,,,,,,,
phil-bates,Phil Bates,WR,,,,,,,,,,,,,,,,,2.0,2.0,1.0,6.0,19.0,,,,,,,,,,,1.0,6.0,,1.0,,,,
rakeem-cato,Rakeem Cato,QB,,,,,,,,1.0,1.0,,9.0,9.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
ricky-foley,Ricky Foley,DB/DL,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-ray-rayri02,Ricky Ray Rayri02,,,,,,,,,34.0,29.0,,,9.0,1.0,3.0,235.0,,,,,,,,,,,,5.0,10.0,,15.0,,,,,,,,,
sam-giguere,Sam Giguere,WR,,,,,,,,,,,,,,,,16.0,1.0,1.0,,1.0,16.0,12.0,1.0,,,12.0,,,,,,,,,,,,,
sean-mcewen,Sean MCEWEN,OL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DB/DE/DL,,,2.0,2.0,2.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-logan,Stefan Logan,RB,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,41.0,3.0,,,93.0,2.0,7.0,,12.0,,,,,,,,,
tj-heath,TJ Heath,DB,1.0,55.0,,4.0,4.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thomas-gordon,Thomas Gordon,LB,,,1.0,1.0,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaughn-martin,Vaughn Martin,DB/DT,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vidal-hazelton,Vidal Hazelton,WR,,,,,,,,,,,,,,,,11.0,3.0,5.0,,4.0,28.0,,,,,,,,,,,,,,,,,,
winston-venable,Winston Venable,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
