player_id,player_name,positions,def_int,def_lg,def_solo,def_tot,def_yds,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
jamaal-westerman,Jamaal Westerman,DB/DE,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-franklin,James Franklin,P,,,,,,,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,4.0,4.0,2.0,8.0,,,,12.0,2.0,2.0,,,,,,
james-wilder-jr,James Wilder Jr.,RB,,,,,,,,,,,,,19.0,3.0,5.0,,40.0,42.0,,,,,,11.0,10.0,,47.0,,,,,,,,,,,,
jason-neill,Jason Neill,DT/DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeffrey-finley,Jeffrey Finley,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,35.0,26.0,1.0,,3.0,385.0,,,,,,,,,,,,5.0,9.0,,22.0,,,,,,,,,,,,
jermaine-gabriel,Jermaine Gabriel,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-woods,Jonathan Woods,LB,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-tuggle,Justin Tuggle,LB,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linden-gaydosh,Linden Gaydosh,DL/DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,,71.0,6.0,6.0,109.0,390.0,,,,,,,,10.0,,,2.0,2.0,52.0,10.0,4.0,4.0
llevi-noel,Llevi Noel,WR,,,,,,,,,,,,,10.0,3.0,3.0,,4.0,21.0,,,,,,,,,,,,,,,,,,,,,
luke-tasker,Luke Tasker,WR,,,,,,,,,,,,,,8.0,9.0,1.0,78.0,143.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
marcus-ball,Marcus Ball,LB,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mario-alford,Mario ALFORD,WR,,,,,,,,,,,,,8.0,2.0,3.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
martese-jackson,Martese Jackson,RB,,,,,,,,,,,,,,,,,,,25.0,6.0,,,109.0,,,,,,,,,,,,,,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,,29.0,14.0,1.0,25.0,,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercer-timmis,Mercer Timmis,RB,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,,12.0,,,,,,,,,,,,
mike-daly,Mike Daly,DB,1.0,20.0,2.0,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-jones,Mike Jones,RB/WR,,,,,,,,,,,,,9.0,1.0,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
myles-white,Myles White,WR,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robert-woodson,Robert Woodson,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodney-smith,Rodney Smith,WR,,,,,,,,,,,,,16.0,2.0,7.0,,6.0,31.0,,,,,,,,,,,,,,,,,,,,,
ronnie-yell,Ronnie Yell,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryan-bomben,Ryan Bomben,OL,,,,,,,,,,,,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
sj-green,S.J. Green,WR,,,,,,,,,,,,,25.0,2.0,8.0,,7.0,41.0,,,,,,,,,,,,,,,,,,,,,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,,,,,,,,,,,,,,,,26.0,4.0,,,81.0,1.0,3.0,,3.0,,,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrence-toliver,Terrence Toliver,WR,,,,,,,,,,,,,20.0,3.0,3.0,,13.0,43.0,,,,,,,,,,,,,,,,,,,,,
troy-davis,Troy Davis,DL/DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumaine-washington,Trumaine Washington,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zack-medeiros,Zack Medeiros,K,,,,,,,,,,,,,,,,,,,71.0,4.0,4.0,81.0,266.0,,,,,,,,4.0,,,,,,4.0,4.0,4.0
