player_id,player_name,positions,3pt_pass,4pt_fg,blocked_punt,conversion_return_td,conversions,dst_touchdown,extra_point,fg_made,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_td,passing_tds,passing_yards,points_against,punt_return,receiving_tds,receiving_yards,receptions,recv_td,rush_td,rushing_tds,rushing_yards,sacks,safety
dallas-renegades-qb,DALLAS RENEGADES QB,QB,,,,,,,,,,,9.0,,,,,18.0,1799.0,,,,,,,,0.0,171.0,,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,,,,,,,,,,0.0,39.0,9.0,,,1.0,263.0,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,,,,,,,,,,1.0,193.0,13.0,,,,,,
daniel-tolliver,Daniel Tolliver,DL,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
darin-hungerford,Darin Hungerford,LB,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
dequan-dudley,DeQuan  Dudley,WR,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,
dee-reese,Dee Reese,DB,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,
defenders-dst,Defenders DST,DST,,,1.0,,,1.0,,,,5.0,,8.0,,,,,,195.0,,,,,,,,,25.0,1.0
defenders-k,Defenders K,K/QB,,2.0,,,,,26.0,,781.0,,10.0,,1.0,6.0,,14.0,1759.0,,,,13.0,3.0,,,0.0,297.0,,
demry-croft,Demry Croft,QB,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
denzel-mims,Denzel Mims,WR,,,,,,,,,,,,,,,,,,,,0.0,55.0,6.0,,,,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,,,,,,,,,,4.0,286.0,23.0,,,,,,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,,1.0,,,,,,,0.0,79.0,11.0,,,7.0,411.0,,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,,,,,,,,,,1.0,152.0,14.0,,,,,,
deonte-brown,Deonte Brown,OG,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,
devante-wright,Devante Wright,DL,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
devery-smith,Devery Smith,WR,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
dion-kuinlan,Dion Kuinlan,DB,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
dionne-thrweatt-vassars,Dionne Thrweatt-Vassars,QB,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
dorian-thompson-robinson,Dorian Thompson-Robinson,QB,1.0,,,,2.0,,,,,,6.0,,,,,7.0,1045.0,,,,,,,,1.0,99.0,,
drake-stoops,Drake Stoops,WR,,,,,,,,,,,,,,,,,,,,1.0,189.0,19.0,,,0.0,4.0,,
duke-williams,Duke Williams,WR,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
easop-winston-jr,Easop Winston Jr.,WR,,,,,,,,,,,,,,,,,,,,0.0,33.0,2.0,,,,,,
elijah-dotson,Elijah Dotson,RB,,,,,,,,,,,,,,,,,,,,0.0,87.0,10.0,,,1.0,71.0,,
elijhah-badger,Elijhah Badger,WR,,,,,,,,,,,,,,,,,,,,5.0,536.0,33.0,,,,,,
ellis-merriweather,Ellis Merriweather,RB,,,,,,,,,,,,,,,,,,,,1.0,169.0,22.0,,,4.0,268.0,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,,,,,,,,,,5.0,158.0,11.0,,,,,,
erik-ezukanma,Erik Ezukanma,WR,,,,,,,,,,,,,1.0,,,,,,,1.0,212.0,13.0,,,0.0,76.0,,
ferrod-gardner,Ferrod Gardner,LB,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,
frank-darby,Frank Darby,WR,,,,,,,,,,,,,,,,,,,,0.0,24.0,2.0,,,0.0,6.0,,
frankie-solomon-jr,Frankie Solomon Jr,WR,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
gary-jennings,Gary Jennings,WR,,,,,,,,,,,,,,,,,,,,1.0,68.0,2.0,,,0.0,21.0,,
georquarius-spivey,Geor\'Quarius Spivey,TE,,,,,,,,,,,,,,,,,,,,0.0,20.0,1.0,,,,,,
greg-ward,Greg Ward,WR,,,,,1.0,,,,,,,,,,,1.0,74.0,,,2.0,200.0,14.0,,,0.0,15.0,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,,,,,,,,,1.0,94.0,11.0,,,,,,
houston-gamblers-dst,HOUSTON GAMBLERS DST,DST,,,,,,2.0,,,,3.0,,7.0,,,,,,205.0,,,,,,,,,17.0,
houston-gamblers-k,HOUSTON GAMBLERS K,K,,,,,,,11.0,,576.0,,,,,4.0,,,,,,,,,,,,,,
houston-gamblers-qb,HOUSTON GAMBLERS QB,QB,,,,,,,,,,,6.0,,1.0,,,6.0,1673.0,,,,,,,,4.0,263.0,,
hakeem-butler,Hakeem Butler,WR,1.0,,,,,,,,,,,,,,,,,,,3.0,568.0,26.0,,,,,,
harrison-frost,Harrison FROST,QB,,,,,,,,,,,6.0,,1.0,,,7.0,719.0,,,,,,,,1.0,26.0,,
hunter-dekkers,Hunter Dekkers,QB,,,,,,,,,,,2.0,,,,,3.0,749.0,,,,,,,,2.0,74.0,,
ian-wheeler,Ian Wheeler,RB,,,,,,,,,,,,,1.0,,,,,,,0.0,41.0,5.0,,,5.0,272.0,,
isaiah-blackmon,Isaiah Blackmon,DL,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
isaiah-winstead,Isaiah Winstead,WR,,,,,0.0,,,,,,,,,,,,,,,2.0,409.0,26.0,,,0.0,0.0,,
jaylen-johnson,JAYLEN JOHNSON,P,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,,,,,,,,,,1.0,119.0,11.0,,,,,,
jabre-barber,Jabre Barber,WR,,,,,,,,,,,,,,,,,,,,0.0,98.0,9.0,,,,,,
jack-plummer,Jack Plummer,QB,,,,,,,,,,,1.0,,1.0,,,15.0,1986.0,,,,,,,,2.0,170.0,,
jacobe-thomas,Jacobe Thomas,DB,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
jaden-shirden,Jaden Shirden,RB,,,,,,,,,,,,,,,,,,,,0.0,19.0,2.0,,,0.0,24.0,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,,,1.0,,,,,,,0.0,288.0,31.0,,,0.0,1.0,,
jakaylen-jackson,Jakaylen Jackson,DB,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
jalan-mcclendon,Jalan McClendon,QB,,,,,,,,,,,6.0,,2.0,,,8.0,1374.0,,,,,,,,2.0,239.0,,
jalen-moreno-cropper,Jalen Moreno-Cropper,WR,,,,,,1.0,,,,,,,,,,,,,,0.0,291.0,22.0,,,0.0,0.0,,
jalen-morton,Jalen Morton,QB,,,,,1.0,,,,,,2.0,,1.0,,,3.0,213.0,,,,,,,,2.0,125.0,,
jalen-white,Jalen White,RB,,,,,1.0,,,,,,,,,,,,,,,1.0,128.0,11.0,,,2.0,201.0,,
jalen-wydermyer,Jalen Wydermyer,TE,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
jamarii-milliken,Jamarii Milliken,DB/LB,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
james-bostic,James Bostic,TE/WR,,,,,,,,,,,,,,,,,,,,1.0,35.0,6.0,,,,,,
james-robinson,James Robinson,RB,,,,,1.0,,,,,,,,1.0,,,,,,,0.0,68.0,8.0,,,3.0,300.0,,
james-taylor,James Taylor,OL,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
jarveon-howard,Jarveon Howard,RB,,,,,1.0,,,,,,,,,,,,,,,0.0,119.0,19.0,,,0.0,440.0,,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,,,,,2.0,,,,,,,1.0,121.0,20.0,,,3.0,404.0,,
jason-bean,Jason Bean,QB,,,,,1.0,,,,,,3.0,,,,,4.0,819.0,,,,,,,,0.0,63.0,,
jatavius-stewart,Jatavius Stewart,DB,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
javon-antonio,Javon Antonio,WR,,,,,,,,,,,,,,,,,,,,2.0,107.0,3.0,,,,,,
jaxon-neubert,Jaxon Neubert,WR,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,1.0,,,,,,,,1.0,,,,,,,2.0,546.0,41.0,,,,,,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,,,,,,,,,,0.0,73.0,10.0,,,0.0,7.0,,
jayvon-johnson,Jayvon Johnson,LB,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
jelani-baker,Jelani Baker,WR,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,
jerome-kapp,Jerome Kapp,WR,,,,,,,,,,,,,,,,,,,,0.0,20.0,5.0,,,,,,
jerry-harris-jr,Jerry Harris Jr.,OL,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
jo-el-shaw,Jo-El Shaw,RB,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
joe-powell,Joe Powell,DB/LB/SAF,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
johari-branch,Johari Branch,C,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
john-hoyland,John Hoyland,K,,,,,,,11.0,,576.0,,,,,4.0,,,,,,,,,,,,,,
john-lovett,John Lovett,RB,,,,,,,,,,,,,,,,,,,,3.0,95.0,11.0,,,2.0,301.0,,
john-rhys-plumlee,John Rhys Plumlee,QB,,,,,,,,,,,1.0,,,,,1.0,177.0,,,,,,,,0.0,41.0,,
john-ross,John Ross,WR,,,,,,,,,,,,,,,,,,,,0.0,58.0,7.0,,,,,,
jonah-dalmas,Jonah Dalmas,K,,,,,,,3.0,,48.0,,,,,1.0,,,,,,,,,,,,,,
jonathan-garibay,Jonathan Garibay,K,,,,,,,5.0,,65.0,,,,,1.0,,,,,,,,,,,,,,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,298.0,26.0,,,0.0,9.0,,
jordan-taamu,Jordan Ta\'amu,QB,,,,,,,,,,,9.0,,,,,14.0,1516.0,,,,,,,,0.0,196.0,,
jordan-thomas-2,Jordan Thomas,TE,1.0,,,,,,,,,,,,,,,,,,,3.0,83.0,10.0,,,,,,
josh-batiste,Josh Batiste,RB,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
josiah-silver,Josiah Silver,DL,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
josue-hernandez,Josue Hernandez,K,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
justin-clarkson,Justin Clarkson,WR,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,,,,,,,,,1.0,281.0,30.0,,,,,,
justin-smith,Justin Smith,WR,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
justin-youmes,Justin Youmes,OL,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,,,,,,,,,,,2.0,327.0,22.0,,,,,,
kj-hamler,KJ Hamler,WR,,,,,,,,,,,,,,,,,,,,3.0,317.0,23.0,,,1.0,3.0,,
kaden-davis,Kaden Davis,WR,,,,,,,,,,,,,,,,,,,,0.0,20.0,3.0,,,,,,
kaden-prather,Kaden Prather,WR,,,,,,,,,,,,,,,,,,,,0.0,130.0,8.0,,,,,,
kaytron-allen,Kaytron Allen,DB,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
keegan-jones,Keegan Jones,RB,,,,,,,,,,,,,,,,,,,,0.0,-1.0,1.0,,,0.0,8.0,,
keke-chism,Keke Chism,WR,,,,,1.0,,,,,,,,,,,,,,,2.0,232.0,23.0,,,,,,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,,,1.0,,,,,,,1.0,108.0,6.0,,,0.0,4.0,,
kentrell-pierce,Kentrell Pierce,LB,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
kevon-latulas,Kevon Latulas,RB,,,,,,,,,,,,,,,,,,,,0.0,121.0,12.0,,,1.0,138.0,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,,,1.0,40.0,,
kobe-gatson,Kobe Gatson,QB,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
konner-fox,Konner Fox,TE,,,,,,,,,,,,,,,,,,,,0.0,4.0,1.0,,,,,,
kylin-james,Kylin James,RB,,,,,,,,,,,,,,,,,,,,0.0,84.0,10.0,,,4.0,128.0,,
louisville-kings-dst,LOUISVILLE KINGS DST,DST/K,,1.0,1.0,,,3.0,17.0,,1028.0,4.0,,12.0,,3.0,,,,192.0,,,,,,,,,22.0,
louisville-kings-qb,LOUISVILLE KINGS QB,QB,,,,,2.0,,,,,,6.0,,1.0,,,9.0,1938.0,,,,,,,,1.0,153.0,,
ladarius-galloway,LaDarius Galloway,RB,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ladon-hudson,Ladon Hudson,LB,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,
laviska-shenault-jr,Laviska Shenault Jr.,WR,,,,,,,,,,,,,,,,,,,,0.0,7.0,1.0,,,,,,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,,,,,,,,,,,2.0,297.0,22.0,,,0.0,0.0,,
logan-stewart,Logan Stewart,WR,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,,,,,,,,,0.0,21.0,3.0,,,1.0,137.0,,
lovell-armstead,Lovell Armstead,RB,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,,,,,,,,,,,,0.0,36.0,3.0,,,,,,
lucky-jackson,Lucky Jackson,WR,,,,,,,,,,,,,,,,,26.0,,,2.0,372.0,28.0,,,,,,
luis-perez,Luis Perez,QB,,,,,,,,,,,4.0,,,,,3.0,751.0,,,,,,,,1.0,17.0,,
luiz-ferreira,Luiz Ferreira,K,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
luke-lehnen,Luke Lehnen,QB,,,,,,,,,,,0.0,,,,,0.0,38.0,,,,,,,,0.0,77.0,,
marcus-gray,MARCUS GRAY,G,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
malik-allen,Malik Allen,LB,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
marcus-major,Marcus Major,RB,,,,,,,,,,,,,,,,,,,,0.0,37.0,6.0,,,1.0,148.0,,
marcus-yarns,Marcus Yarns,RB,,,,,,,,,,,,,2.0,,,,,,,0.0,76.0,10.0,,,1.0,345.0,,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,,,,,,,,,,,,1.0,143.0,11.0,,,,,,
matt-corral,Matt Corral,QB,,,,,,,,,,,4.0,,,,,5.0,769.0,,,,,,,,0.0,9.0,,
matt-mccrane,Matt McCrane,K,,2.0,,,,,26.0,,781.0,,,,,6.0,,,,,,,,,,,,,,
michael-hiers,Michael Hiers,QB,,,,,,,,,,,0.0,,,,,0.0,60.0,,,,,,,,0.0,1.0,,
michael-lantz,Michael Lantz,K,,,,,,,21.0,,569.0,,,,,5.0,,,,,,,,,,,,,,
michael-pratt,Michael Pratt,QB,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,,
mike-diliello,Mike DiLiello,QB,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,,
noah-hambrick,Noah Hambrick,DB,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,
nolan-henderson,Nolan Henderson,QB,,,,,,,,,,,2.0,,,,,0.0,447.0,,,,,,,,1.0,105.0,,
orlando-storm-dst,ORLANDO STORM DST,DST,,,1.0,,,1.0,,,,3.0,,5.0,,,,,,163.0,,,,,,,,,17.0,
orlando-storm-k,ORLANDO STORM K,K,,,,,,,21.0,,569.0,,,,,5.0,,,,,,,,,,,,,,
orlando-storm-qb,ORLANDO STORM QB,QB,,,,,,,,,,,1.0,,1.0,,,15.0,2005.0,,,,,,,,2.0,176.0,,
patrick-mcsweeney,Patrick Mcsweeney,WR,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
paxton-brooks,Paxton Brooks,P,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
paxton-lynch,Paxton Lynch,QB,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
qwynnterrio-cole,Qwynnterrio Cole,DB/FS,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
raheem-harvey,Raheem Harvey,WR,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
rahjai-harris,Rahjai Harris,RB,,,,,,,,,,,,,,,,,,,,0.0,-6.0,1.0,,,0.0,8.0,,
ramiz-ahmed,Ramiz Ahmed,K,,,,,,,7.0,,251.0,,,,,3.0,,,,,,,,,,,,,,
raphael-turner,Raphael Turner,OL,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
rico-moore,Rico Moore,LB,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
roc-taylor,Roc Taylor,WR,,,,,,,,,,,,,,,,,,,,0.0,23.0,2.0,,,,,,
rodrick-washington-jr,Rodrick Washington Jr,WR,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
romeo-roberts,Romeo Roberts,WR,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
ryan-coe,Ryan Coe,K,,,,,,,15.0,,206.0,,,,,4.0,,,,,,,,,,,,,,
ryan-nelson,Ryan Nelson,OL/OT/T,,,,,,,,,,,,,,,,,,,,0.0,-5.0,1.0,,,,,,
st-louis-battlehawks-dst,ST. LOUIS BATTLEHAWKS DST,DST/K,,,,,,1.0,14.0,,701.0,3.0,,9.0,,4.0,,,,163.0,,,,,,,,,27.0,
st-louis-battlehawks-qb,ST. LOUIS BATTLEHAWKS QB,QB,1.0,,,,,,,,,,13.0,,1.0,,,12.0,1930.0,,,,,,,,2.0,65.0,,
sal-cannella,Sal Cannella,TE,,,,,,,,,,,,,,,,,,,,0.0,3.0,1.0,,,,,,
sam-wiglusz,Sam Wiglusz,WR,,,,,,,,,,,,,,,,,,,,0.0,65.0,8.0,,,,,,
sean-connaghan,Sean Connaghan,LB,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
seth-green,Seth Green,TE,,,,,1.0,,,,,,,,,,,,,,,1.0,117.0,11.0,,,,,,
seth-williams,Seth Williams,WR,,,,,,,,,,,,,,,,,,,,0.0,51.0,3.0,,,,,,
shaun-mcgee,Shaun Mcgee,DL,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
shawn-bowman,Shawn Bowman,TE,,,,,,,,,,,,,,,,,,,,0.0,51.0,6.0,,,,,,
shay-roberts,Shay Roberts,OL,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
snoop-conner,Snoop Conner,RB,,,,,,,,,,,,,1.0,,,,,,,0.0,78.0,12.0,,,3.0,253.0,,
spencer-sanders,Spencer Sanders,QB,,,,,,,,,,,1.0,,1.0,,,0.0,243.0,,,0.0,13.0,3.0,,,0.0,102.0,,
stephen-nagbe-jr,Stephen Nagbe Jr,DL,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
steven-mcbride,Steven McBride,WR,,,,,,,,,,,,,,,,,,,,3.0,333.0,27.0,,,,,,
steven-stilianos,Steven Stilianos,TE,,,,,,,,,,,,,,,,,,,,0.0,46.0,5.0,,,,,,
tanner-brown,Tanner Brown,K,,1.0,,,,,17.0,,1028.0,,,,,3.0,,,,,,,,,,,,,,
tarik-black,Tarik Black,WR,,,,,,,,,,,,,,,,,,,,3.0,379.0,26.0,,,0.0,3.0,,
taulia-tagovailoa,Taulia Tagovailoa,QB,,,,,,,,,,,1.0,,1.0,,,2.0,300.0,,,,,,,,1.0,43.0,,
tay-martin,Tay Martin,WR,,,,,,,,,,,,,,,,,,,,2.0,446.0,40.0,,,,,,
toa-taua,Toa Taua,RB,,,,,,,,,,,,,,,,,,,,0.0,92.0,15.0,,,2.0,241.0,,
tracy-brooks,Tracy Brooks,RB,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
trae-jackson,Trae Jackson,WR,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,
traveon-samuel,Traveon Samuel,WR,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
travier-fields-jackson,Travier Fields-Jackson,ATH,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
travis-taylor,Travis Taylor,DL,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
trayvon-culbert,Trayv'on Culbert,WR,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
tre-stewart,Tre Stewart,RB,,,,,,,,,,,,,,,,,,,,0.0,27.0,4.0,,,0.0,109.0,,
tre-mckitty,Tre\' McKitty,TE,,,,,1.0,,,,,,,,,,,,,,,0.0,83.0,4.0,,,,,,
treden-davis-reed,Treden Davis-Reed,LB,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
tucker-mccann,Tucker McCann,K,,,,,,,6.0,,374.0,,,,,1.0,,,,,,,,,,,,,,
ty-scott,Ty Scott,WR,,,,,,,,,,,,,,,,,,,,5.0,328.0,20.0,,,,,,
tyler-cassel,Tyler Cassel,DL,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
tyler-davis,Tyler Davis,RB/TE/WR,,,,,,,,,,,,,,,,,,,,,25.0,8.0,,,,,,
tyler-hudson,Tyler Hudson,WR,,,,,,,,,,,,,,,,,,,1.0,0.0,40.0,3.0,,,,,,
tyler-neville,Tyler Neville,TE,,,,,,,,,,,,,,,,,,,,4.0,125.0,13.0,,,,,,
